sample,ENSG00000157150.4,ENSG00000139618.14,ENSG00000133687.15,ENSG00000082175.14,ENSG00000012048.19,ENSG00000140009.18,ENSG00000196569.11,ENSG00000091831.21,ENSG00000107485.15,ENSG00000141736.13
TCGA-C8-A1HL-01,-0.7588,0.8164,0.8805,-2.5479,1.9931,-2.9324,1.6327,4.7367,7.6229,7.4799
TCGA-EW-A2FS-01,-0.6193,0.1388,0.7664,-1.3183,1.7489,-2.3147,1.3109,6.0837,8.1142,6.3567
TCGA-B6-A402-01,-5.5735,1.7316,-1.8836,-5.5735,2.8916,-2.2447,-0.2498,-1.5522,-0.2671,5.6789
TCGA-A2-A3XX-01,-0.8339,0.0440,-0.9971,-3.1714,2.7227,-2.3147,1.6875,-1.5105,1.1117,6.3056
TCGA-BH-A0BQ-11,3.4739,1.5758,4.1571,3.7269,1.9712,-1.6850,4.2943,4.0401,5.8770,6.0005
TCGA-Z7-A8R5-01,-0.2498,-2.3884,1.3901,0.4125,0.1388,-3.6259,1.5216,4.4384,6.2064,6.3379
TCGA-D8-A1JU-01,3.4868,-0.2671,2.1213,1.2576,0.9493,-2.1779,4.3492,6.6564,7.0075,6.4591
TCGA-B6-A0RL-01,-3.3076,1.3511,-4.0350,0.6790,3.6277,-4.0350,-1.7809,8.1821,9.5219,7.4710
TCGA-E2-A153-11,0.7832,0.2522,3.2988,3.4778,1.2934,-1.5951,2.4198,2.9984,5.9251,6.7285
TCGA-E9-A3HO-01,0.2154,-0.1828,4.0028,2.7444,3.2112,-1.6850,0.4657,5.7255,8.4335,6.3160
TCGA-BH-A0B0-01,4.5129,0.8164,2.0535,-0.4921,0.6608,-2.2447,1.8363,5.3744,7.3038,5.3481
TCGA-D8-A1XJ-01,0.0990,2.1894,-0.9406,-2.1140,2.6738,-3.4580,0.4340,6.0668,6.4704,11.3297
TCGA-AC-A2FK-01,0.6699,0.1257,3.5523,4.2563,0.5370,-1.6394,3.5461,3.1701,5.9991,7.1996
TCGA-E9-A1R4-01,-1.8836,0.9935,1.0779,3.7291,3.1162,-3.6259,0.5370,6.2865,7.6758,6.1039
TCGA-LL-A740-01,-2.9324,-1.2142,0.2400,-2.8262,1.2394,-3.3076,1.7828,-0.7346,4.6753,7.3923
