sample,ENSG00000163682.15,ENSG00000181449.3,ENSG00000179603.17,ENSG00000109670.13,ENSG00000133703.11,ENSG00000178568.13,ENSG00000079999.13,ENSG00000077782.19,ENSG00000159216.18,ENSG00000141510.15
TCGA-56-8305-01,9.8350,5.9991,-3.0469,2.4465,3.5461,-3.6259,5.7420,3.7182,4.0198,5.9045
TCGA-21-1083-01,10.4237,-3.0469,-1.3548,2.9581,3.9175,-2.0529,6.2273,2.7931,3.9992,5.4300
TCGA-33-4587-11,11.5353,0.5955,-2.7274,2.3843,2.4960,-1.6394,4.9570,3.7815,2.6255,3.5299
TCGA-58-A46N-01,8.8082,7.8253,-0.2671,2.0289,4.0136,-6.5064,7.0628,3.1572,3.4007,1.3735
TCGA-56-A4BX-01,8.3186,8.0997,-2.2447,1.9111,4.0977,-9.9658,7.2213,3.2752,4.2818,1.7489
TCGA-34-7107-01,8.7801,6.7658,-1.0262,2.3193,3.9910,-2.5479,6.9354,3.9847,3.8837,6.1410
TCGA-56-7222-01,9.9144,5.2521,-2.2447,2.2633,3.8187,-2.4659,5.2521,2.7117,3.2856,2.1702
TCGA-37-4129-01,10.6808,0.1776,4.6938,3.8749,3.3577,-2.2447,5.5034,5.1244,0.7058,3.1327
TCGA-77-8145-01,7.7785,6.8036,-2.3147,2.8582,3.0893,-9.9658,5.3302,5.4216,4.8084,3.2267
TCGA-33-AASD-01,8.2648,5.5500,-2.3147,3.9289,3.6555,-2.3147,6.0385,3.7127,4.9260,4.1310
TCGA-22-5478-01,9.2482,4.5736,-3.6259,3.3647,3.2557,-3.1714,4.9510,4.2601,4.4900,4.8074
TCGA-92-8063-01,9.4313,5.8985,-2.1779,1.8444,3.0446,-9.9658,5.8375,3.9709,4.2480,6.0862
TCGA-39-5028-01,10.0726,2.5804,-2.6349,2.9618,3.1653,-2.9324,5.2262,4.8355,4.5602,4.1756
TCGA-58-A46J-01,9.1280,6.6038,-4.0350,2.5707,3.2870,-0.8863,5.4030,3.8421,3.8491,5.7819
TCGA-37-4133-01,10.8572,6.3418,-1.7322,0.9568,2.96,-3.458,5.4591,1.8564,2.5213,4.8944
TCGA-22-5482-01,10.8063,6.1252,-3.0469,1.7097,3.3148,-9.9658,6.1554,2.7763,3.6793,6.0665
TCGA-34-7107-11,9.6089,-0.0725,-3.1714,2.8720,2.6090,-0.9686,4.4243,4.7187,4.4081,4.0619
TCGA-77-7142-01,9.4488,6.6915,-2.9324,2.1830,4.5748,-1.9379,5.3155,3.4007,4.4270,5.9364
