sample,ENSG00000145041.15,ENSG00000136997.14,ENSG00000139687.13,ENSG00000171862.9,ENSG00000169083.15,ENSG00000157557.11,ENSG00000157554.18,ENSG00000134954.14,ENSG00000141510.15
TCGA-EJ-7125-01,3.3591,6.2283,4.1376,4.5217,5.0828,4.1169,1.3109,3.4007,4.6183
TCGA-KK-A7B3-01,2.8720,4.7274,3.0110,2.4412,3.8350,4.0216,1.6281,3.1540,5.4864
TCGA-ZG-A8QW-01,2.8137,5.9191,3.1377,2.9948,3.2900,4.4556,1.4388,2.8542,4.9435
TCGA-J4-A83K-01,3.2496,6.4463,3.2435,4.0225,4.0028,4.1069,6.7621,2.5828,5.0237
TCGA-G9-6379-01,1.7995,3.8461,0.8408,3.1939,2.7205,4.3413,0.4552,2.1476,4.3198
TCGA-HC-7742-01,3.2617,4.1644,3.9663,3.1987,4.2274,3.8471,1.4547,3.2617,2.7763
TCGA-HC-A8D0-01,3.2572,6.4671,3.3293,3.8187,3.4437,4.6776,5.6985,3.3731,4.6849
TCGA-EJ-7315-11,3.4075,4.7071,4.5880,5.2947,4.6023,5.7666,3.1228,5.6375,4.8689
TCGA-J9-A8CK-01,2.9413,6.2825,2.4960,4.3597,3.2112,5.3622,7.6225,2.9394,4.5173
TCGA-VP-A879-01,3.1426,4.5547,3.3521,3.9337,3.9626,4.4958,6.1633,2.7249,4.6433
TCGA-CH-5751-01,3.8147,7.2637,3.9561,5.1692,5.5614,4.0575,2.3077,5.4213,3.9910
TCGA-HC-8265-01,3.12226221344,4.95953678443,3.67630411508,6.02686400994,5.45925793269,3.67519044093,1.15120673364,4.3265670515,4.27335991072
TCGA-EJ-A8FP-01,3.0876,4.4790,3.3828,4.2578,3.8551,5.6502,1.9111,4.0109,4.3249
TCGA-EJ-8468-01,3.5086,4.5136,4.4384,4.6212,4.8370,4.8115,2.1670,4.0790,3.8650
TCGA-G9-6333-01,3.1507,5.2373,3.3264,3.7909,4.0019,4.9887,0.4340,2.8897,4.3249
